HID,Name,Label,Name_kana,Type,Type_desc,Kodomo,TEL,FAX,Add1,Add2,Y,X,Capall,Cap0,Cap1,Cap2,Cap3,Cap4,Cap5,AgeS,AgeE,Owner,Ownership,Open,Close_reg,Close,H24,Extra,Temp,Sick,Holiday,Night,Disabilities,Shanai,Proof,Memo,url,Vacancy,VacancyDate
73,富久ソラのこども園ちいさなうちゅう分園,富久ソラのこども園ちいさなうちゅう分園,とみひさそらのこどもえんちいさなうちゅうぶんえん,認可,子ども園　私立,Y,03-6380-6437,03-6380-6438,東京都新宿区,新宿5-3-13,35.69238,139.71123,80,12,24,24,20,0,0,43日,3歳クラスまで,社会福祉法人　東京児童協会,私立,7:30,18:30,20:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
74,保育ルームえどがわ園,保育ルームえどがわ園,ほいくるーむえどがわえん,認可,保育ルーム,,03-3266-7350,03-3266-7350,東京都新宿区,水道町1-28,35.70707,139.73619,30,0,6,6,6,6,6,1歳クラス,就学前まで,株式会社　テノ．コーポレーション,,7:30,18:30,19:30,,Y,Y,,,,N,,,一時保育（空き利用型）あり。,,,
75,保育ルームおちにすくすく園,保育ルームおちにすくすく園,ほいくるーむおちにすくすくえん,認可,保育ルーム,,03-3227-0703,03-3227-0703,東京都新宿区,上落合2-10-23,35.71284,139.68927,19,0,9,10,0,0,0,1歳クラス,2歳クラスまで,株式会社　テノ．コーポレーション,,7:30,18:30,19:30,,Y,Y,,,,N,,,一時保育（空き利用型）あり。,,,
76,保育ルームつるまき園,保育ルームつるまき園,ほいくるーむつるまきえん,認可,保育ルーム,,03-3205-9525,03-3205-9525,東京都新宿区,早稲田鶴巻町140,35.70843,139.72487,12,0,6,6,0,0,0,1歳クラス,2歳クラスまで,株式会社　テンダーラビングケアサービス,,7:30,18:30,19:30,,Y,Y,,,,N,,,一時保育（空き利用型）あり。,,,
77,保育ルームべんてん,保育ルームべんてん,ほいくるーむべんてん,認可,保育ルーム,,03-6302-1024,03-6302-1024,東京都新宿区,若松町16-2BENTEN　internationalビル,35.69826,139.71404,19,0,9,10,0,0,0,1歳クラス,2歳クラスまで,株式会社　サクセスアカデミー,,7:30,18:30,19:30,,Y,Y,,,,N,,,一時保育（空き利用型）あり。,,,
78,保育ルーム早稲田,保育ルーム早稲田,ほいくるーむわせだ,認可,保育ルーム,,03-6205-6331,03-6205-6332,東京都新宿区,西早稲田３－９－６ＫＴビル,35.7114,139.71416,19,0,9,10,0,0,0,1歳クラス,2歳クラスまで,株式会社　プロケア,,7:30,18:30,19:30,,Y,Y,,,,N,,,一時保育（空き利用型）あり。,,,
79,キッズパオ防衛省市ヶ谷保育園(従業員枠),キッズパオ防衛省市ヶ谷保育園(従業員枠),きっずぱおぼうえんしょういちがやほいくえん（じゅうぎょういんわく）,認可,事業所内保育事業,,03-3235-3757,03-3235-3757,東京都新宿区,市谷本村町5－１厚生棟2階,35.69272,139.72961,23,5,6,12,0,0,0,57日,2歳クラスまで,防衛省共済組合本省支部（運営委託　株式会社マミーズファミリー）,私立,7:30,18:30,19:30,,Y,Y,,,,N,Y,,一時保育（空き利用型）あり。,,,
80,キッズパオ防衛省市ヶ谷保育園(地域枠),キッズパオ防衛省市ヶ谷保育園(地域枠),きっずぱおぼうえんしょういちがやほいくえん（ちいきわく）,認可,事業所内保育事業,,03-3235-3757,03-3235-3757,東京都新宿区,市谷本村町5－１厚生棟2階,35.69272,139.72961,7,1,3,3,0,0,0,57日,2歳クラスまで,防衛省共済組合本省支部（運営委託　株式会社マミーズファミリー）,私立,7:30,18:30,19:30,,Y,Y,,,,N,Y,,一時保育（空き利用型）あり。,,,
81,とちょう保育園(従業員枠),とちょう保育園(従業員枠),とちょうほいくえん（じゅうぎょういんわく）,認可,事業所内保育事業,,03-5990-5301,03-5990-5304,東京都新宿区,西新宿2－8－1東京都議会議事堂1階南側,35.6895,139.69164,24,6,9,9,0,0,0,57日,2歳クラスまで,一般財団法人　東京都人材支援事業団（運営委託　社会福祉法人　尚徳福祉会）,私立,7:00,18:00,22:00,,Y,Y,,,,N,Y,,一時保育（空き利用型）あり。,,,
82,とちょう保育園(地域枠),とちょう保育園(地域枠),とちょうほいくえん（ちいきわく）,認可,事業所内保育事業,,03-5990-5301,03-5990-5304,東京都新宿区,西新宿2－8－1東京都議会議事堂1階南側,35.6895,139.69164,24,6,9,9,0,0,0,57日,2歳クラスまで,一般財団法人　東京都人材支援事業団（運営委託　社会福祉法人　尚徳福祉会）,私立,7:00,18:00,22:00,,Y,Y,,,,N,Y,,一時保育（空き利用型）あり。,,,
83,もみの樹園事業所内保育所(従業員枠),もみの樹園事業所内保育所(従業員枠),もみのきじぎょうしょないほいくしょ（じゅうぎょういんわく）,認可,事業所内保育事業,,03-3565-7301,03-3565-7302,東京都新宿区,上落合１－１７－８特別養護老人ホーム［もみの樹園］内６F,35.71611,139.69394,10,2,4,4,0,0,0,57日,2歳クラスまで,社会福祉法人　園盛会,私立,7:30,18:30,19:30,,Y,Y,,,,N,Y,,一時保育（空き利用型）あり。,,,
84,もみの樹園事業所内保育所(地域枠),もみの樹園事業所内保育所(地域枠),もみのきじぎょうしょないほいくしょ（ちいきわく）,認可,事業所内保育事業,,03-3565-7301,03-3565-7302,東京都新宿区,上落合１－１７－８特別養護老人ホーム［もみの樹園］内６F,35.71611,139.69394,20,4,8,8,0,0,0,57日,2歳クラスまで,社会福祉法人　園盛会,私立,7:30,18:30,19:30,,Y,Y,,,,N,Y,,一時保育（空き利用型）あり。,,,
85,わらべうた四谷病児室,わらべうた四谷病児室,わらべうたよつやびょうじしつ,認可,病児・病後児保育室,,03-5269-4255,03-5269-5160,東京都新宿区,四谷4-17,35.68906,139.7164,4,4 ,4 ,4 ,4 ,4 ,4 ,離乳食完了後,就学前まで,長谷川キッズライフ株式会社,私立,8:00,18:00,18:30,,Y,,Y,,,N,,,定員は合計4名です。延長保育は、7:30～8:00、18:00～18:30で対応。病児保育あり。,,,
86,アスク飯田橋保育園,アスク飯田橋保育園,あすくいいだばしほいくえん,認証,認証保育所,,03-3260-5697,03-3260-5698,東京都新宿区,神楽河岸1-1セントラルプラザ3階,35.70134,139.74374,58,6,8,15,19,10 ,10 ,45日,就学前まで,株式会社　日本保育サービス,私立,7:30,22:00,22:00,,,,,,,N,,,4歳、5歳の定員は合計10人です,,3,2018/1/1
87,アスク高田馬場保育園,アスク高田馬場保育園,あすくたかだのばばほいくえん,認証,認証保育所,,03-5285-2600,03-3209-0196,東京都新宿区,高田馬場2-16-11高田馬場216ビル2階,35.71397,139.70525,39,6,9,8,8,8 ,8 ,45日,就学前まで,株式会社　日本保育サービス,私立,7:30,23:00,23:00,,,,,,,N,,,4歳、5歳の定員は合計8人です,,1,2018/1/1
88,アスク西新宿保育園,アスク西新宿保育園,あすくにししんじゅくほいくえん,認証,認証保育所,,03-5320-8028,03-5320-8029,東京都新宿区,西新宿6-20-7ｺﾝｼｪﾘｱ西新宿ﾀﾜｰｽﾞｳｪｽﾄ1階,35.69281,139.68738,35,6,10,9,5,5 ,5 ,43日,就学前まで,株式会社　日本保育サービス,私立,7:30,22:00,22:00,,,,,,,N,,,4歳、5歳の定員は合計5人です,,,2018/1/1
89,エデュケアセンター・新宿,エデュケアセンター・新宿,えでゅけあせんたーしんじゅく,認証,認証保育所,,03-5363-1015,03-5363-1015,東京都新宿区,富久町13-1ローレルコート新宿タワータウンフォーラム２階,35.69251,139.71483,27,6,8,8,5 ,5 ,5 ,57日,就学前まで,株式会社　パソナフォスター,私立,7:30,21:00,21:00,,,,,,,N,,,3歳、4歳、5歳の定員は合計5人です,,0,2018/1/1
90,北新宿雲母保育園,北新宿雲母保育園,きたしんじゅくきららほいくえん,認証,認証保育所,,03-5937-4347,03-5937-4348,東京都新宿区,北新宿3-2-1フレイザープレイス・ホフ新宿1F,35.70325,139.69455,40,10,10,10,5,5 ,5 ,57日,就学前まで,株式会社　モード・プランニング・ジャパン,私立,7:30,21:00,21:00,,,,,,,N,,,4歳、5歳の定員は合計5人です,,,2018/1/1
91,キッズパオ高田馬場あおぞら園,キッズパオ高田馬場あおぞら園,きっずぱおたかだのばばあおぞらえん,認証,認証保育所,,03-6908-8140,03-6908-8140,東京都新宿区,高田馬場4-23-28ﾋﾙｽﾞ石田ﾋﾞﾙ1階,35.71022,139.70204,30,6,10,8,6 ,6 ,6 ,57日,就学前まで,株式会社　マミーズファミリー,私立,7:30,20:30,20:30,,,,,,,N,,,3歳、4歳、5歳の定員は合計6人です,,,2018/1/1
92,ケンパ若松河田,ケンパ若松河田,けんぱわかまつかわだ,認証,認証保育所,,03-6681-4645,03-6681-4645,東京都新宿区,若松町33-1リエール若松町１F,35.70066,139.72043,21,3,9,9,0,0,0,57日,2歳クラスまで,特定非営利活動法人ケンパ・ラーニング・コミュニティ協会,私立,7:30,21:00,21:00,,,,,,,N,,,,,,2018/1/1
93,コスモス保育園,コスモス保育園,こすもすほいくえん,認証,認証保育所,,03-3208-8506,03-3208-8506,東京都新宿区,大久保2-4-1ｳﾞｨﾙﾗﾌｨｰﾈ東新宿1F,35.70391,139.70825,26,8,9,9,0,0,0,52日,2歳クラスまで,特定非営利活動法人心豊かな子どもを育てる会,私立,7:00,20:30,20:30,,,,,,,N,,,,,,2018/1/1
94,ソラスト神楽坂,ソラスト神楽坂,そらすとかぐらざか,認証,認証保育所,,03-5206-7317,03-5206-7318,東京都新宿区,改代町26-1三田村ビル1階,35.68956,139.71249,40,6,14,16,4,0,0,57日,2歳クラスまで,株式会社　ソラスト,私立,7:30,20:30,20:30,,,,,,,N,,,,,2,2018/1/1
95,ぴっころきっず西早稲田,ぴっころきっず西早稲田,ぴっころきっずにしわせだ,認証,認証保育所,,03-3209-2267,03-3209-2267,東京都新宿区,高田馬場2-1-2TOHMA高田馬場2階,35.7118,139.70978,37,9,10,10,4,4 ,4 ,43日,就学前まで,株式会社　プライムツーワン,私立,7:00,21:00,21:00,,,,,,,N,,,4歳、5歳の定員は合計4人です,,8,2018/1/1
96,フロンティアキッズ河田町,フロンティアキッズ河田町,ふろんてぃあきっずかわだちょう,認証,認証保育所,,03-5379-1680,03-5379-1680,東京都新宿区,河田町3-29ﾌﾟﾗｳﾄﾞﾌﾗｯﾄ新宿河田町1階,35.69504,139.72125,27,8,9,10,0,0,0,57日,2歳クラスまで,株式会社　フューチャーフロンティアーズ,私立,7:00,20:00,20:00,,,,,,,N,,,,,,2018/1/1
97,フロンティアキッズ新宿,フロンティアキッズ新宿,ふろんてぃあきっずしんじゅく,認証,認証保育所,,03-3208-2744,03-3208-2744,東京都新宿区,新宿6-27-56新宿スクエアビル２階,35.69712,139.70839,38,8,10,10,7,3 ,3 ,43日,就学前まで,株式会社　フューチャーフロンティアーズ,私立,7:00,20:00,20:00,,,,,,,N,,,4歳、5歳の定員は合計3人です,,2,2018/1/1
98,ぽけっとランド信濃町,ぽけっとランド信濃町,ぽけっとらんどしなのまち,認証,認証保育所,,03-5368-0521,03-5368-0534,東京都新宿区,信濃町８外苑北ＳＲＣビル2Ｆ,35.6827,139.71939,40,6,10,12,12 ,12 ,12 ,57日,就学前まで,学校法人　三幸学園,私立,7:30,20:30,20:30,,,,,,,N,,,3歳、4歳、5歳の定員は合計12人です,,,2018/1/1
99,ほっぺるランド早稲田鶴巻町,ほっぺるランド早稲田鶴巻町,ほっぺるらんどわせだつるまきちょう,認証,認証保育所,,03-3235-5008,03-3235-5009,東京都新宿区,早稲田鶴巻町575-1早稲田鶴巻町ﾊﾟｰｸﾎｰﾑｽﾞ1階,35.70895,139.72778,50,10,15,10,15 ,15 ,15 ,57日,就学前まで,株式会社　テノ．コーポレーション,私立,7:30,20:30,20:30,,,,,,,N,,,3歳、4歳、5歳の定員は合計15人です,,,2018/1/1
100,ぽっぽのいえほいくえん,ぽっぽのいえほいくえん,ぽっぽのいえほいくえん,認証,認証保育所,,03-3950-2060,03-3951-5665,東京都新宿区,下落合1-16-7東京三協信用金庫下落合ﾋﾞﾙ,35.71606,139.69516,40,9,9,10,6,6 ,6 ,43日,就学前まで,特定営利活動法人鳩の会ぽっぽのいえほいくえん,私立,7:00,20:00,20:00,,,,,,,N,,,4歳、5歳の定員は合計6人です,,1,2018/1/1
101,ポピンズナーサリースクール早稲田,ポピンズナーサリースクール早稲田,ぽぴんずなーさりーすくーるわせだ,認証,認証保育所,,03-5155-2168,03-5155-2169,東京都新宿区,西早稲田1-1-7早稲田大学28号館２階,35.70743,139.71909,60,9,12,12,10,17 ,17 ,57日,就学前まで,株式会社　ポピンズ,私立,7:30,22:00,22:00,,,,,,,N,,,4歳、5歳の定員は合計17人です,,2,2018/1/1
102,メリーポピンズ神楽坂ルーム,メリーポピンズ神楽坂ルーム,めりーぽぴんずかぐらざかるーむ,認証,認証保育所,,03-3267-1366,03-3267-1366,東京都新宿区,榎町72ﾌｫｰﾄﾘｽ早稲田1階,35.70493,139.72878,25,6,11,8,0,0,0,57日,2歳クラスまで,株式会社　ゴーエスト,私立,7:00,20:00,20:00,,,,,,,N,,,,,,2018/1/1
103,ルーチェ保育園,ルーチェ保育園,るーちぇほいくえん,認証,認証保育所,,03-5937-5581,03-3364-1106,東京都新宿区,西新宿7-18-1TOMOEビル2階,35.69612,139.69652,30,6,12,12 ,12 ,12 ,12 ,57日,就学前まで,株式会社　ルーチェ,私立,7:30,21:00,21:00,,,,,,,N,,,2歳、3歳、4歳、5歳の定員は合計12人です,,,2018/1/1
104,フロンティアキッズ夏目坂（仮称）,,ふろんてぃあきっずなつめざか,認証,認証保育所,,,,東京都新宿区,若松町33－1　リエール若松町1階,35.70065,139.72044,22,3,9,10 ,0 ,0 ,0 ,57日,2歳クラスまで,株式会社　フューチャーフロンティアーズ,私立,7:00,20:00,20:00,,,,,,,N,,,平成３０年４月開設予定。,,,2018/1/1
105,おひさま保育室,おひさま保育室,,認可外,認可外（ベビーホテル）,,080-4720- 6518,,東京都新宿区,新宿7-13-2　笹木ビル１F,35.69875,139.71115,,,,,,,,,,泉谷　友貴,,8:00,19:00,19:00,,,,,,,,,,,,,
106,ベビーサロン　きこり,ベビーサロン　きこり,,認可外,認可外（ベビーホテル）,,03-5348-5347,,東京都新宿区,百人町2-21-22,35.70247,139.69733,5,,,,,,,,,矢部　光啓,,8:00,19:00,19:00,,,,,,,,,Y,,,,
107,リトル・メイト（京王プラザ内）,リトル・メイト（京王プラザ内）,,認可外,認可外（ベビーホテル）,,03-3345-1439,,東京都新宿区,西新宿2-2-1　京王プラザホテル 本館30階,35.68999,139.69434,15,,,,,,,,,東京リトル・メイト株式会社,,8:00,22:00,22:00,,,,,,,,,,,,,
108,キッズパラダイス新宿,キッズパラダイス新宿,,認可外,認可外（ベビーホテル）,,03-5369-2303,,東京都新宿区,新宿3-9-5　ゴ-ルドビル5F,35.69133,139.70686,20,,,,,,,,,スターメッドグループ株式会 社,,,,,Y,,,,,,,,,,,,
109,たいよう保育園　新宿園,たいよう保育園　新宿園,,認可外,認可外（ベビーホテル）,,03-5272-7028,,東京都新宿区,新宿5-18-9　酒井ビル2F,35.69441,139.70663,20,,,,,,,,,石澤ハルノ,,7:30,2:00,2:00,,,,,,,,,Y,,,,
110,早稲田フロンティアキッズ,早稲田フロンティアキッズ,,認可外,認可外（ベビーホテル）,,03-3356-8080,,東京都新宿区,河田町3-16　河田町コン フォガ-デン施設C棟,35.69587,139.72084,69,,,,,,,,,株式会社ファミーラ,,7:00,20:00,20:00,,,,,,,,,Y,,,,
111,Dr.MOM Nursery School,Dr.MOM Nursery School,,認可外,認可外（ベビーホテル）,,03-5362-3387,,東京都新宿区,左門町6-7鯉江ビル2階,35.68663,139.72073,44,,,,,,,,,株式会社Dr.MOM,,7:00,22:00,22:00,,,,,,,,,Y,,,,
112,愛嬰幼保学園新宿園,愛嬰幼保学園新宿園,,認可外,認可外（ベビーホテル）,,03-4405-7604,,東京都新宿区,百人町2-11-24,35.70225,139.6991,50,,,,,,,,,株式会社　愛嬰,,,,,Y,,,,,,,,Y,,,,
113,ふぃおーれ保育室,ふぃおーれ保育室,,認可外,認可外（ベビーホテル）,,03-5287-6211,,東京都新宿区,新宿7-26-9フィオ-レ東京3階,35.69917,139.7092,18,,,,,,,,,東京社会保険協会,,8:00,16:00,16:00,,,,,,,,,Y,,,,
114,(独）国立国際医療研究センター あさがお保育園,(独）国立国際医療研究センター あさがお保育園,,認可外,認可外（ベビーホテル）,,03-3202-7181,,東京都新宿区,戸山1-21-1　第2教育研修棟301,35.70399,139.71622,5,,,,,,,,,国立国際医療研究センター,,8:00,18:30,18:30,,,,,,,,,,,,,
115,伸芽’Sクラブ飯田橋,伸芽’Sクラブ飯田橋,,認可外,認可外（ベビーホテル）,,03-3268-3759,,東京都新宿区,神楽坂1-2研究社英語センタービ ル1F,35.69889,139.74109,80,,,,,,,,,株式会社伸芽会,,7:30,21:00,21:00,,,,,,,,,Y,,,,
116,わんぱくランド,わんぱくランド,,認可外,認可外（ベビーホテル）,,03-6457-3978,,東京都新宿区,歌舞伎町1-15-1　吉本ビル2F,35.69414,139.70213,15,,,,,,,,,株式会社プリマヴェーラ,,,,,Y,,,,,,,,,,,,
117,どみそ保育園,どみそ保育園,,認可外,認可外（ベビーホテル）,,03-6304-0905,,東京都新宿区,高田馬場3-12-5 セブンビル2階,35.7131,139.70003,45,,,,,,,,,株式会社ベストペース,,,,,Y,,,,,,,,Y,,,,
118,保育園オレンジプラネット新宿御苑,保育園オレンジプラネット新宿御苑,,認可外,認可外（ベビーホテル）,,03-6457-4193,,東京都新宿区,新宿1-19-8　　サンモール第7ビル 2F,35.68966,139.71266,20,,,,,,,,,株式会社国大ホールディン グス,,,,,Y,,,,,,,,,,,,
119,Meducare　Bambino市ヶ谷,Meducare　Bambino市ヶ谷,,認可外,認可外（ベビーホテル）,,03-6273-2629,,東京都新宿区,市谷仲之町3-16,35.69503,139.72176,2,,,,,,,,,株式会社ウェルステート,,7:00,20:00,20:00,,,,,,,,,Y,,,,
120,テゾーロインターナショナルスクー ル,テゾーロインターナショナルスクー ル,,認可外,認可外（ベビーホテル）,,03-5946-8748,,東京都新宿区,新小川町3-16-101,35.70514,139.74223,20,,,,,,,,,青木　美恵子,,8:00,18:00,18:00,,,,,,,,,,,,,
121,Kid'sroom Puananala,Kid'sroom Puananala,,認可外,認可外（ベビーホテル）,,03-6885-2002,,東京都新宿区,西新宿8-3-23-101,35.69635,139.69443,10,,,,,,,,,伊藤　奈津美,,7:00,20:00,20:00,,,,,,,,,,,,,
122,ティンクファミリー,ティンクファミリー,,認可外,認可外（ベビーホテル）,,03-6276-4656,,東京都新宿区,西新宿4-4-1-302,35.68996,139.68518,3,,,,,,,,,大類　勇,,8:00,19:00,19:00,,,,,,,,,,,,,
123,Meducare Bambino,Meducare Bambino,,認可外,認可外（ベビーホテル）,,03-5357-7124,,東京都新宿区,市谷仲之町3-34遠藤ビル１階,35.69503,139.72176,51,,,,,,,,,株式会社ウェルステート,,8:00,18:00,18:00,,,,,,,,,Y,,,,
124,リビングデザインセンターOZONE　キッズ パティオ,リビングデザインセンターOZONE　キッズ パティオ,,認可外,認可外（ベビーホテル）,,03-5322-6506,,東京都新宿区,西新宿3-7-1,35.68604,139.68993,,,,,,,,,,東京ガスコミュニケーショ ンズ株式会社,,13:00,17:00,17:00,,,,,,,,,,,,,
125,インターナショナル・モンテッソーリ・ミラ イ・キンダーガーデン,インターナショナル・モンテッソーリ・ミラ イ・キンダーガーデン,,認可外,認可外（ベビーホテル）,,03-6380-6643,,東京都新宿区,若葉3-10-10,35.68241,139.72498,120,,,,,,,,,Cocone Education(株),,8:30,17:30,17:30,,,,,,,,,,,,,
126,ブルジョンキッズスペース,ブルジョンキッズスペース,,認可外,認可外（ベビーホテル）,,03-6356-8493,,東京都新宿区,大京町31　マンションヴィップ新宿 御苑102,35.68153,139.71474,32,,,,,,,,,株式会社K's style,,8:00,20:00,20:00,,,,,,,,,,,,,
127,アイビー・チルドレンズルーム,アイビー・チルドレンズルーム,,認可外,認可外（その他施設）,,03-3353-3390,,東京都新宿区,荒木町6-4ベルロジエ201,35.68949,139.72296,8,,,,,,,,,有限会社アイビー・チル ドレンズルーム,,9:30,13:30,13:30,,,,,,,,,Y,,,,
128,モンテッソーリ下落合　こどもの家,モンテッソーリ下落合　こどもの家,,認可外,認可外（その他施設）,,03-3953-6184,,東京都新宿区,下落合4-3-7,35.71739,139.69649,18,,,,,,,,,瀧口　恵,,9:00,18:00,18:00,,,,,,,,,Y,,,,
129,NYこどものくに,NYこどものくに,,認可外,認可外（その他施設）,,03-3952-4192,,東京都新宿区,西落合3-10-18-104,35.72314,139.68103,30,,,,,,,,,NPO法人こどものくに,,8:30,17:30,17:30,,,,,,,,,Y,,,,
130,アオバジャパン・バイリンガルプリスクール 早稲田キャンパス,アオバジャパン・バイリンガルプリスクール 早稲田キャンパス,,認可外,認可外（その他施設）,,03-6385-2818,,東京都新宿区,高田馬場1-14-8　千代田ビル2号 館,35.70924,139.70596,130,,,,,,,,,現代幼児基礎教育開発 株式会社,,8:00,18:00,18:00,,,,,,,,,,,,,
131,みどりの保育園,みどりの保育園,,認可外,認可外（事業所内保育施設）,,03-4316-2140,,東京都新宿区,新宿4-1-6　ミライナタワー15階,35.68889,139.70256,12,,,,,,,,,LINE株式会社,,9:00,21:00,21:00,,,,,,,,,,,,,
132,ZERO Nursery,ZERO Nursery,,認可外,認可外（事業所内保育施設）,,03-6427-2992,,東京都新宿区,若松町15-8　モアリッシェル東新宿1階,35.69845,139.71481,18,,,,,,,,,株式会社ZERO,,7:30,18:30,18:30,,,,,,,,,,,,,
133,フロン ティアキッズ市ヶ谷　企業主導型保育事業所,フロン ティアキッズ市ヶ谷　企業主導型保育事業所,,認可外,認可外（事業所内保育施設）,,03-3226-0535,,東京都新宿区,市谷仲之町3-16　高木ハウス102.103号室,35.69503,139.72176,12,,,,,,,,,株式会社ファミーラ,,8:00,19:00,19:00,,,,,,,,,,,,,
